//以下全部来自互联网，所有内容仅供测试使用，请勿用于违法用途，如有冒犯请联系删除。
📺央视频道,#genre#
CCTV-1综合,http://124.90.44.40:6060/010/2/00000001000000060000000000000469/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通
CCTV-1综合,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8$上海黄埔联通

CCTV-1综合,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广东电信酒店
CCTV-1综合，http://120.87.103.8:45213/rtp/239.0.1.3:8008$广东联通
CCTV-1综合,http://120.87.103.8:45213/rtp/239.0.1.65:8080$广东联通
CCTV-2财经,http://124.90.44.40:6060/010/2/00000001000000060000000000000471/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通
CCTV-2财经,http://139.227.221.119:9901/tsfile/live/0002_1.m3u8$上海黄埔联通

CCTV-2财经,http://218.17.33.178:53290/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$广东电信酒店
CCTV-2财经,http://120.87.103.8:45213/rtp/239.0.1.4:8084$广东联通
CCTV-2财经,http://120.87.103.8:45213/rtp/239.0.1.66:8004$广东联通
CCTV-3综艺,http://124.90.44.40:6060/010/2/00000001000000060000000000000642/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通
CCTV-3综艺,http://139.227.221.119:9901/tsfile/live/0003_1.m3u8$上海黄埔联通

CCTV-3综艺,http://218.17.33.178:53290/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$广东电信酒店
CCTV-3综艺,http://120.87.103.8:45213/rtp/239.0.1.103:5052$广东联通
CCTV-1综合,http://116.77.33.98:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$深圳酒店
CCTV-2财经,http://116.77.33.98:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$深圳酒店
CCTV-3综艺,http://116.77.33.98:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$深圳酒店
CCTV-1综合,http://lysj.aylzline.top:8899/rtp/225.1.2.47:10276$河南联通组播
CCTV-1综合,http://yhms.aylzline.top:8899/rtp/225.1.2.47:10276$河南联通组播
CCTV-1综合,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276$河南联通组播
CCTV-1综合,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009$蓝天直播源
CCTV-1综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$蓝天直播源
CCTV-1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$蓝天直播源
CCTV-1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344$蓝天直播源
CCTV-1综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1$蓝天直播源
CCTV-1综合,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$蓝天直播源
CCTV-1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$蓝天直播源
CCTV-1综合,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8$蓝天直播源
CCTV-1综合,http://[2409:8087:1a0a:df::404b]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$蓝天直播源
CCTV-1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$蓝天直播源
CCTV-2财经,http://lysj.aylzline.top:8899/rtp/225.1.2.78:10462$河南联通组播
CCTV-2财经,http://yhms.aylzline.top:8899/rtp/225.1.2.78:10462$河南联通组播
CCTV-2财经,http://zczb.aylzline.top:8899/rtp/225.1.2.78:10462$河南联通组播
CCTV-2财经,http://38.75.136.137:98/gslb/dsdqca/cctv2hd.m3u8?auth=test20251009$蓝天直播源
CCTV-2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$蓝天直播源
CCTV-2财经,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588$蓝天直播源
CCTV-2财经,http://goo.bkpcp.top/mg/CCTV2$蓝天直播源
CCTV-2财经,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$蓝天直播源
CCTV-2财经,https://smart.pendy.dpdns.org/Smart.php?id=cctv2$蓝天直播源
CCTV-2财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$蓝天直播源
CCTV-2财经,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3$蓝天直播源
CCTV-2财经,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8$蓝天直播源
CCTV-2财经,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226371/1.m3u8$蓝天直播源
CCTV-3综艺,http://lysj.aylzline.top:8899/rtp/225.1.2.141:10864$河南联通组播
CCTV-3综艺,http://yhms.aylzline.top:8899/rtp/225.1.2.141:10864$河南联通组播
CCTV-3综艺,http://zczb.aylzline.top:8899/rtp/225.1.2.141:10864$河南联通组播
CCTV-3综艺,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009$蓝天直播源
CCTV-3综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$蓝天直播源
CCTV-3综艺,http://23.237.228.134/live5/CCTV3.m3u8$蓝天直播源
CCTV-3综艺,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021$蓝天直播源
CCTV-3综艺,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$蓝天直播源
CCTV-3综艺,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$蓝天直播源
CCTV-3综艺,https://smart.pendy.dpdns.org/Smart.php?id=cctv3$蓝天直播源
CCTV-3综艺,http://[2409:8087:1a01:df::4041]/TVOD/88888888/224/3221225799/main.m3u8$蓝天直播源
CCTV-3综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$蓝天直播源
CCTV-3综艺,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/1.m3u8$蓝天直播源

CCTV-4中文国际,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$蓝天直播源
CCTV-4中文国际,http://218.17.33.178:53290/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$广东电信酒店
CCTV-4中文国际,http://38.75.136.137:98/gslb/dsdqca/cctv4hd.m3u8?auth=test20251009$蓝天直播源
CCTV-4中文国际,http://120.87.103.8:45213/rtp/239.0.1.180:6040$广东联通
CCTV-4中文国际,http://139.227.221.119:9901/tsfile/live/0004_1.m3u8$上海黄埔联通
CCTV-4中文国际,http://117.36.76.86:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信

CCTV-4中文国际,http://120.87.103.8:45213/rtp/239.0.1.67:8216$广东联通
CCTV-4中文国际,http://116.77.33.98:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$深圳酒店
CCTV-4中文国际,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428$蓝天直播源
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=CCTV-4国际$蓝天直播源
CCTV-4中文国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$蓝天直播源
CCTV-4中文国际,https://www.freetv.top/migu/631780421.m3u8?migutoken=fefc6a44400a0dd448699ae0ce3d6e2c5a0f49b8d48adb36e747c4fbab039337eb3244f9951acbddaf26b7bf51597a7d1b43c8845e67fd5914ece875dcad325bb388200bc0f12fdff727d03e2d$蓝天直播源
CCTV-4中文国际,https://smart.pendy.dpdns.org/Smart.php?id=cctv4$蓝天直播源
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4o$蓝天直播源
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4m$蓝天直播源
CCTV-4中文国际,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8$蓝天直播源
CCTV-4中文国际,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$一
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20260120040204be50cf7ee78e48618aececf40aea7fa6&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260120040204&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=218.28.233.106&SecurityKey=20260120040204&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=0c24440e261eba9aa55be6b12ec30f95$二
CCTV-4中文国际,http://m.061899.xyz/mg/cctv4$三
CCTV-4中文国际,http://lysj.aylzline.top:8899/rtp/225.1.2.197:11806$河南联通组播
CCTV-4中文国际,http://yhms.aylzline.top:8899/rtp/225.1.2.197:11806$河南联通组播
CCTV-4中文国际,http://zczb.aylzline.top:8899/rtp/225.1.2.197:11806$河南联通组播
CCTV-4中文国际,http://123.118.56.94:39901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$四
CCTV-4中文国际,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428$五
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=CCTV-4国际$六
CCTV-4中文国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$七
CCTV-4中文国际,https://www.freetv.top/migu/631780421.m3u8?migutoken=fefc6a44400a0dd448699ae0ce3d6e2c5a0f49b8d48adb36e747c4fbab039337eb3244f9951acbddaf26b7bf51597a7d1b43c8845e67fd5914ece875dcad325bb388200bc0f12fdff727d03e2d$八
CCTV-4中文国际,https://smart.pendy.dpdns.org/Smart.php?id=cctv4$九
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4o$十
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4m$十一
CCTV-4中文国际,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8$十二
CCTV-4中文国际,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7EfCf-e5nKehMQzrOBwWduf%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192542%2C%2C%2C20240420192542%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$十三
CCTV-4中文国际,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8$十四
CCTV-4中文国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$十五
CCTV-4中文国际,http://120.196.235.42:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$十六
CCTV-5体育,http://124.90.44.40:6060/010/2/00000001000000060000000000000643/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通
CCTV-6电影,http://124.90.44.40:6060/010/2/00000001000000060000000000000644/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通

CCTV-7国防军事,http://124.90.44.40:6060/010/2/00000001000000060000000000000472/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通

CCTV-8电视剧,http://124.90.44.40:6060/010/2/00000001000000060000000000000645/1000.m3u8?virtualDomain=010.live_hls.zte.com$浙江联通

